test,arch,platform,status,extra_args,handler,handler_time,ram_size,rom_size
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap_no_multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/sys_event/kernel.events.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/event_api/kernel.events,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/event_api/kernel.events.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/metairq/kernel.scheduler.metairq,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/metairq/kernel.scheduler.metairq.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/deadline/kernel.scheduler.deadline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/deadline/kernel.scheduler.deadline.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/preempt/kernel.scheduler.preempt,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/preempt/kernel.scheduler.preempt.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.no_timeslicing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.multiq,riscv32,hifive1,skipped,CONF_FILE=prj_multiq.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.multiq_no_timeslicing,riscv32,hifive1,skipped,CONF_FILE=prj_multiq.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.dumb_no_timeslicing,riscv32,hifive1,skipped,CONF_FILE=prj_dumb.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_usage/kernel.message_queue_usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_usage/kernel.message_queue_usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_api/kernel.message_queue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_api/kernel.fifo,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_api/kernel.fifo.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/xip/arch.common.xip,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/xip/arch.common.xip.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
